date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 
2012-01-11 | 1
2012-01-11 | 2147483648

2012-01-11 | a
2012-01-11 | -2147483648
           | 4
           |
2010-08-20|1
|          

2011-a1-01 | 3
2011-1a-01 | 3
2011-01-01 | a3
2011-01-01 | 3a
2011-01 01 | 3
2011-01+01 | 3

2009-01-01 | 3
1999-12-11 | 3
2010-24-02 | 3
2012-11-34 | 3
2021-02-29 | 3
2021-04-31 | 3

2020-02-29 | 5
2025-01-01 | 2
2010-08-20 | 1
2022-03-07 | 1
2011-02-12 | 1
